loss,data_loss,dirichlet_loss,neumann_loss,residual_loss
0.17083251476287842,0.1560816466808319,0.001469393726438284,1.1387476661184337e-05,0.0
15.924124717712402,0.8912140130996704,1.4709806442260742,0.06462080776691437,0.0
0.3165362477302551,0.18758970499038696,0.00941105280071497,0.006967207416892052,0.0
0.31682589650154114,0.2015855610370636,0.011371945962309837,0.0003041759773623198,0.0
0.44042131304740906,0.06303185224533081,0.03367256745696068,0.008132757619023323,0.0
0.25149330496788025,0.07800768315792084,0.01607631891965866,0.0025444882921874523,0.0
0.41009828448295593,0.22425968945026398,0.017265548929572105,0.00263661565259099,0.0
0.3360733091831207,0.20184199512004852,0.011225269176065922,0.004395722411572933,0.0
0.23375912010669708,0.07508788257837296,0.015694787725806236,0.00034467296791262925,0.0
0.42404705286026,0.057369619607925415,0.036614734679460526,0.00010601603571558371,0.0
0.12424420565366745,0.11269256472587585,0.0010749365901574492,0.0001604539284016937,0.0
0.3173661231994629,0.1979741007089615,0.011507093906402588,0.0008642175234854221,0.0
0.2235100120306015,0.17174582183361053,0.0051645017229020596,2.3831866201362573e-05,0.0
0.14092473685741425,0.10122360289096832,0.0031843800097703934,0.0015714680776000023,0.0
0.26366496086120605,0.07283280789852142,0.017185430973768234,0.003795568598434329,0.0
0.1649332493543625,0.09010561555624008,0.006820010952651501,0.0013255034573376179,0.0
0.14084869623184204,0.13817676901817322,0.00025140613433904946,3.157343599013984e-05,0.0
0.21737158298492432,0.17048437893390656,0.0042274813167750835,0.0009224772220477462,0.0
0.1549835056066513,0.14456714689731598,0.0006645767134614289,0.0007541181403212249,0.0
0.1314287930727005,0.10402175039052963,0.0026519373059272766,0.00017753565043676645,0.0
0.18156924843788147,0.08432475477457047,0.009711744263768196,2.5410898160771467e-05,0.0
0.16298753023147583,0.08898379653692245,0.007387519348412752,2.57076280831825e-05,0.0
0.12504906952381134,0.11049671471118927,0.0013950489228591323,0.00012037291162414476,0.0
0.13831017911434174,0.13514158129692078,0.00018011608335655183,0.0002734864829108119,0.0
0.15746095776557922,0.1467059999704361,0.0009539059246890247,0.0002431820030324161,0.0
0.14338147640228271,0.1392517387866974,0.0003891811065841466,4.75848100904841e-05,0.0
0.1248287558555603,0.12173803150653839,0.000290267780655995,3.760922118090093e-05,0.0
0.12937280535697937,0.10564569383859634,0.002210184931755066,0.0003250551817473024,0.0
0.14250342547893524,0.09742984175682068,0.004208612255752087,0.0005974905216135085,0.0
0.13972313702106476,0.09876149147748947,0.0038290969096124172,0.0005341345677152276,0.0
0.1274033933877945,0.10753731429576874,0.0018600423354655504,0.00025313213700428605,0.0
0.12387213855981827,0.11933615058660507,0.0004306290065869689,4.59385737485718e-05,0.0
0.12989677488803864,0.12907585501670837,8.10108394944109e-05,2.1638727503159316e-06,0.0
0.1339387744665146,0.13265183568000793,0.0001107886346289888,3.581128112273291e-05,0.0
0.13011835515499115,0.12907224893569946,7.88311444921419e-05,5.155905455467291e-05,0.0
0.12429460883140564,0.12096735835075378,0.00031499715987592936,3.545627259882167e-05,0.0
0.12348742038011551,0.11223480850458145,0.0011174068786203861,1.570812673890032e-05,0.0
0.1270926594734192,0.10593593120574951,0.0021122205071151257,6.9061684371263254e-06,0.0
0.12928934395313263,0.1037239357829094,0.0025537735782563686,5.5339178288704716e-06,0.0
0.12717768549919128,0.105751171708107,0.002139510354027152,6.283709353738232e-06,0.0
0.1238107904791832,0.11082667857408524,0.0012938702711835504,9.08172569324961e-06,0.0
0.1229320764541626,0.11697907000780106,0.0005883250269107521,1.394996615999844e-05,0.0
0.12456991523504257,0.12213145941495895,0.0002351687289774418,1.7353442672174424e-05,0.0
