loss,data_loss,dirichlet_loss,neumann_loss
0.37900131940841675,0.10445793718099594,0.0019536723848432302,0.05100133642554283
2151.562744140625,0.2379312664270401,0.04335305467247963,430.17828369140625
519.0413208007812,0.18514017760753632,0.008311169221997261,103.75460815429688
4.411899089813232,0.15415486693382263,0.0020309241954237223,0.8474869728088379
125.62793731689453,0.1451268345117569,0.00154192466288805,25.09347915649414
5.47933292388916,0.1202685609459877,0.0012041599256917834,1.0694044828414917
140.9715118408203,0.09866201132535934,0.006768558640033007,28.16103172302246
41.62934875488281,0.10127127170562744,0.0029130654875189066,8.299789428710938
54.51130676269531,0.11748535931110382,0.0010694833472371101,10.876625061035156
24.508079528808594,0.12597531080245972,0.0004959185607731342,4.875429153442383
13.011397361755371,0.13059623539447784,0.0002217147994088009,2.575716733932495
6.388190269470215,0.12829607725143433,0.0001339391019428149,1.2517110109329224
5.422518253326416,0.1199951171875,0.00017240330635104328,1.0601598024368286
2.3454973697662354,0.11681018769741058,0.000159812334459275,0.4454178214073181
1.9498064517974854,0.11496984958648682,0.00019194225023966283,0.3665834367275238
0.3208073675632477,0.1156330406665802,0.00026404456002637744,0.04050677269697189
4.499289512634277,0.11866466701030731,0.00039279789780266583,0.8753393888473511
3.391157388687134,0.11756264418363571,0.0005352867301553488,0.6536483764648438
0.15241512656211853,0.1142776682972908,0.0007983698742464185,0.006030751392245293
0.12043086439371109,0.11367397010326385,0.0005109507474116981,0.0003294776543043554
0.8375544548034668,0.10340350866317749,0.0004184310382697731,0.14599332213401794
0.20172974467277527,0.09404725581407547,0.0010729203931987286,0.019390659406781197
0.9594203233718872,0.0905594676733017,0.0015956272836774588,0.1705809086561203
0.4520253837108612,0.08995150029659271,0.003181175794452429,0.06605242192745209
1.2654414176940918,0.09215925633907318,0.006718839518725872,0.2212187498807907
1.6178951263427734,0.10086248070001602,0.0047812736593186855,0.29384398460388184
0.21112070977687836,0.11206480860710144,0.0011734561994671822,0.01746426895260811
0.9802070260047913,0.12208186835050583,0.00012561844778247178,0.17137379944324493
0.19631418585777283,0.12681850790977478,0.000577110331505537,0.012744913809001446
5.6846489906311035,0.12095043063163757,0.0002382319507887587,1.1122632026672363
8.235827445983887,0.10852110385894775,0.0018515200354158878,1.6217583417892456
2.1568634510040283,0.09663748741149902,0.004053178709000349,0.40393882989883423
0.3562472462654114,0.08820688724517822,0.0047617387026548386,0.04408459737896919
0.27096331119537354,0.09171096980571747,0.0026539419777691364,0.030542587861418724
0.461331844329834,0.10173407942056656,0.0005673067062161863,0.07078494131565094
0.2861446738243103,0.1089293509721756,8.313449507113546e-05,0.03527679294347763
0.25529995560646057,0.11097495257854462,8.31221550470218e-05,0.028698755428195
0.1904195249080658,0.10691729933023453,0.0003720707318279892,0.015956303104758263
0.18987680971622467,0.10011801868677139,0.0010153023758903146,0.015921153128147125
0.13869749009609222,0.10059016197919846,0.0007480427157133818,0.006125379353761673
0.15681010484695435,0.1049041822552681,8.845953561831266e-05,0.010204264894127846
0.1071069985628128,0.0993175208568573,0.00020576863607857376,0.0011463584378361702
0.32957521080970764,0.08395521342754364,0.0010088896378874779,0.047106221318244934
0.29762983322143555,0.07340716570615768,0.0019412399269640446,0.04096205160021782
0.09276917576789856,0.06793178617954254,0.0020501757971942425,0.0008671247633174062
0.1269802451133728,0.07593028247356415,0.002279534935951233,0.005650922656059265
0.1347765177488327,0.07371245324611664,0.003394539700821042,0.0054237330332398415
0.07763401418924332,0.06131609529256821,0.00016586892888881266,0.002931846072897315
0.2147788107395172,0.049222346395254135,0.004036846570670605,0.025037599727511406
0.20009008049964905,0.04725087806582451,0.0064116246066987514,0.01774459332227707
0.08159562945365906,0.05169595777988434,0.002843787893652916,0.00029235711554065347
0.1056554839015007,0.05940515175461769,0.0023309332318603992,0.004588199779391289
0.12201807647943497,0.06206069886684418,0.0058679124340415,0.0002556501131039113
0.07665976881980896,0.05853350833058357,0.0005695362924598157,0.0024861793499439955
0.09779182821512222,0.052309732884168625,0.004192438907921314,0.00071154028410092
0.10116250067949295,0.04849475622177124,0.004198328126221895,0.0021368940360844135
0.04796011745929718,0.04598722606897354,0.00015546803479082882,8.364271343452856e-05
0.09454712271690369,0.040112290531396866,0.003653725842013955,0.003579514566808939
0.06953822076320648,0.035206764936447144,0.0033877023961395025,9.08870279090479e-05
0.048521216958761215,0.031650956720113754,0.0006747953593730927,0.002024461282417178
0.10094097256660461,0.029713571071624756,0.004536123014986515,0.005173235200345516
0.06577412039041519,0.028061997145414352,0.002901925705373287,0.0017385738901793957
0.08334407210350037,0.026012182235717773,0.0003044433833565563,0.010857491753995419
0.08200064301490784,0.02551533468067646,0.0035835332237184048,0.004129995126277208
0.09419257938861847,0.025969520211219788,0.0022902553901076317,0.009064101614058018
0.06290074437856674,0.028018631041049957,0.00012348229938652366,0.006729458458721638
0.05137965455651283,0.031810689717531204,0.001444032066501677,0.0010257286485284567
0.053250234574079514,0.03255492448806763,0.0008483388228341937,0.0024423846043646336
0.033001720905303955,0.03109080158174038,0.00012196436728117988,0.00013825487985741347
0.04492764174938202,0.02686874195933342,0.0009455414256080985,0.001720696920529008
0.02715129777789116,0.0234282985329628,0.0003426993789616972,5.920116018387489e-05
0.034241583198308945,0.02134866826236248,0.0006274860934354365,0.0013236110098659992
0.029934857040643692,0.020242759957909584,0.0008492378401570022,0.00023994373623281717
0.026920849457383156,0.018763601779937744,0.0005249569658190012,0.000581535801757127
0.0378759391605854,0.018260877579450607,0.0007557281060144305,0.0024115564301609993
0.020680010318756104,0.017867354676127434,0.00013693551591131836,0.00028865999775007367
0.03605177626013756,0.01748163066804409,0.0004943524836562574,0.0027253238949924707
0.024529457092285156,0.016856813803315163,0.0003388267068658024,0.0008568752091377974
0.02983897365629673,0.016181860119104385,0.00024694952298887074,0.0022375236731022596
0.027944128960371017,0.016652798280119896,0.00043187770643271506,0.0013945106184110045
