loss,res_loss,d0_loss,d1_loss,neu_loss
559515.875,149103440.0,30.48748016357422,158.5540008544922,24240.48046875
3408946.75,170374896.0,35.237857818603516,113.99629974365234,271252.375
2211669.0,82502920.0,34.985206604003906,57.67271423339844,170738.578125
557280.75,36821848.0,49.084171295166016,26.998647689819336,25509.76171875
451918.53125,32767354.0,72.84402465820312,13.49633502960205,11561.09765625
572523.125,23558572.0,83.67204284667969,9.033430099487305,28054.96875
441848.875,19887528.0,82.77654266357422,7.164042949676514,15442.9423828125
236978.328125,12753292.0,71.20572662353516,6.7608537673950195,2512.89794921875
87578.84375,4293540.0,54.73219680786133,11.254009246826172,369.65087890625
140908.765625,6050477.5,35.10755920410156,26.555864334106445,1373.287109375
203274.90625,8061167.0,23.306467056274414,40.87971496582031,1951.0601806640625
144546.0625,4933608.0,18.805740356445312,47.045021057128906,1955.43896484375
68213.03125,1865308.875,20.35752296447754,44.02505874633789,1327.673828125
61926.50390625,1929375.375,28.739299774169922,34.08366394042969,162.1693878173828
69773.6328125,2044183.375,34.62667465209961,29.185094833374023,206.69549560546875
58209.30078125,1393188.0,36.44404220581055,28.43324851989746,713.955078125
49380.609375,1076347.375,36.947017669677734,29.462026596069336,614.3890380859375
41663.23828125,928305.1875,34.35517883300781,32.916744232177734,151.7064208984375
30429.330078125,617359.5,31.77587890625,34.99324035644531,29.27577781677246
31602.826171875,601512.375,35.58990478515625,29.61093521118164,102.22488403320312
29966.375,539137.875,42.034114837646484,23.19304847717285,79.98674774169922
21465.125,333833.8125,42.84320068359375,21.423606872558594,34.97581100463867
23519.3671875,372441.8125,38.50129699707031,24.019495010375977,13.49656867980957
26015.26953125,399247.25,38.352386474609375,24.65651512145996,55.05088806152344
24290.3515625,347601.25,36.38181686401367,27.099931716918945,56.211246490478516
19029.6796875,239919.53125,30.249900817871094,33.629573822021484,16.591705322265625
15669.5595703125,166452.296875,26.347911834716797,39.296504974365234,11.669476509094238
17941.572265625,194114.15625,25.427879333496094,40.93243408203125,43.51472473144531
18150.890625,191214.125,25.41938018798828,40.75960922241211,44.25747299194336
15046.869140625,139528.6875,29.814224243164062,35.880699157714844,10.565651893615723
13661.1494140625,113292.5859375,36.42206954956055,29.449787139892578,4.98234748840332
13305.8095703125,100667.5390625,40.6658935546875,25.750764846801758,22.14204216003418
12708.7958984375,91698.6796875,39.50243377685547,25.829511642456055,12.348782539367676
14116.8232421875,111077.4609375,38.836605072021484,26.108808517456055,6.901424407958984
14379.9853515625,112879.984375,34.66904067993164,29.263057708740234,8.517630577087402
11908.5205078125,75057.65625,32.970542907714844,31.234994888305664,8.381499290466309
14608.26171875,107990.7578125,35.96308135986328,29.675748825073242,5.306211948394775
14718.2568359375,105695.671875,35.5269775390625,30.578454971313477,7.484259605407715
15508.861328125,113887.5859375,32.11525344848633,33.73781204223633,4.03229284286499
13333.685546875,83779.3515625,30.566816329956055,35.23347473144531,5.130899429321289
14378.435546875,94901.2890625,30.418067932128906,35.081851959228516,4.653695583343506
12489.5595703125,70483.21875,29.066192626953125,36.28512954711914,3.3836936950683594
14280.0595703125,89276.1171875,27.876455307006836,37.81702423095703,3.296497344970703
13555.458984375,79025.8359375,28.867618560791016,36.86119842529297,2.8304030895233154
13004.48828125,71550.390625,31.2386474609375,34.163455963134766,2.4742672443389893
12592.3837890625,65817.1328125,32.50409698486328,32.58481979370117,2.831685781478882
12004.150390625,58451.15234375,33.093475341796875,31.813575744628906,1.9036633968353271
12057.1982421875,57348.921875,35.8812141418457,29.37470817565918,2.610996961593628
